megye	város	iskolatípus	dokumentumkészítés	táblázatkezelés	adatbázis-kezelés	programozás
Pest	Gyömrõ	gimnázium	15	8	11	0
Pest	Vác	gimnázium	29	3	15	19
Pest	Dabas	gimnázium	22	2	3	0
Pest	Gödöllõ	gimnázium	22	11	8	2
Pest	Budaörs	gimnázium	21	15	22	43
Pest	Szentendre	gimnázium	19	11	18	15
Pest	Szentendre	gimnázium	29	11	23	42
Pest	Szentendre	gimnázium	30	15	30	43
Pest	Szentendre	gimnázium	23	10	20	2
Pest	Budakeszi	gimnázium	28	9	10	5
Pest	Budakeszi	gimnázium	25	1	14	19
Pest	Szentendre	gimnázium	26	13	13	10
Pest	Gödöllõ	gimnázium	6	7	21	17
Pest	Ócsa	gimnázium	30	7	25	32
Pest	Ócsa	gimnázium	27	10	24	18
Pest	Szentendre	gimnázium	24	10	13	0
Pest	Cegléd	szakközép	23	1	17	35
Pest	Cegléd	szakközép	27	13	26	26
Pest	Cegléd	szakközép	25	9	12	6
Pest	Cegléd	szakközép	23	9	12	5
Pest	Cegléd	szakközép	27	11	24	39
Pest	Cegléd	szakközép	28	9	17	23
Pest	Cegléd	szakközép	27	11	16	31
Pest	Cegléd	szakközép	22	12	18	27
Pest	Cegléd	szakközép	25	12	18	2
Pest	Cegléd	szakközép	28	8	9	5
Pest	Monor	szakközép	26	8	6	0
Pest	Vác	szakközép	26	1	6	35
Pest	Vác	szakközép	29	11	23	2
Pest	Vác	szakközép	19	12	22	30
Pest	Vác	szakközép	26	12	6	16
Pest	Monor	szakközép	25	3	6	2
Pest	Vác	szakközép	27	2	5	14
Pest	Vác	szakközép	26	2	23	7
Pest	Százhalombatta	szakközép	30	13	21	40
Pest	Piliscsaba	szakközép	28	14	24	20
Pest	Vác	szakközép	27	10	21	36
Pest	Kiskunlacháza	szakközép	30	14	23	35
Somogy	Csurgó	gimnázium	25	4	10	20
Somogy	Csurgó	gimnázium	25	0	0	16
Somogy	Kaposvár	gimnázium	28	14	18	25
Somogy	Kaposvár	gimnázium	12	2	10	1
Somogy	Kaposvár	gimnázium	19	8	7	0
Somogy	Kaposvár	gimnázium	26	10	14	13
Somogy	Kaposvár	gimnázium	27	14	24	18
Somogy	Barcs	gimnázium	26	15	28	2
Somogy	Barcs	gimnázium	23	7	23	1
Somogy	Barcs	gimnázium	29	14	22	2
Somogy	Barcs	gimnázium	18	8	8	0
Somogy	Barcs	gimnázium	24	12	16	0
Somogy	Barcs	gimnázium	19	2	9	0
Somogy	Fonyód	gimnázium	23	15	27	36
Somogy	Fonyód	gimnázium	20	14	14	22
Somogy	Kaposvár	gimnázium	25	9	20	0
Somogy	Kaposvár	gimnázium	26	4	3	0
Somogy	Kaposvár	szakközép	28	1	26	29
Somogy	Kaposvár	szakközép	23	14	9	18
Somogy	Kaposvár	szakközép	23	14	16	3
Somogy	Kaposvár	szakközép	27	11	28	41
Somogy	Kaposvár	szakközép	0	0	0	0
Somogy	Kaposvár	szakközép	25	14	7	27
Somogy	Kaposvár	szakközép	23	8	13	2
Somogy	Nagyatád	szakközép	22	11	13	22
Somogy	Kaposvár	szakközép	27	3	10	22
Somogy	Kaposvár	szakközép	20	6	11	22
Somogy	Kaposvár	szakközép	23	14	15	27
Somogy	Kaposvár	szakközép	15	2	18	0
Somogy	Kaposvár	szakközép	4	2	8	38
Szabolcs-Szatmár-Bereg	Vásárosnamény	gimnázium	23	2	5	24
Szabolcs-Szatmár-Bereg	Vásárosnamény	gimnázium	17	4	8	4
Szabolcs-Szatmár-Bereg	Vásárosnamény	gimnázium	19	5	13	2
Szabolcs-Szatmár-Bereg	Vásárosnamény	gimnázium	21	5	5	2
Szabolcs-Szatmár-Bereg	Nyíregyháza	gimnázium	28	15	28	44
Szabolcs-Szatmár-Bereg	Kisvárda	gimnázium	25	14	14	0
Szabolcs-Szatmár-Bereg	Kisvárda	gimnázium	23	12	13	0
Szabolcs-Szatmár-Bereg	Kisvárda	gimnázium	27	11	20	29
Szabolcs-Szatmár-Bereg	Nyíregyháza	gimnázium	29	15	24	38
Szabolcs-Szatmár-Bereg	Nyíregyháza	gimnázium	27	11	13	0
Szabolcs-Szatmár-Bereg	Nyíregyháza	gimnázium	28	11	23	37
Szabolcs-Szatmár-Bereg	Vásárosnamény	gimnázium	19	6	11	4
Szabolcs-Szatmár-Bereg	Nyíregyháza	gimnázium	27	9	17	11
Szabolcs-Szatmár-Bereg	Nyíregyháza	gimnázium	30	13	16	35
Szabolcs-Szatmár-Bereg	Nyíregyháza	gimnázium	27	13	26	40
Szabolcs-Szatmár-Bereg	Nyíregyháza	gimnázium	26	13	28	39
Szabolcs-Szatmár-Bereg	Vásárosnamény	gimnázium	26	13	24	3
Szabolcs-Szatmár-Bereg	Vásárosnamény	gimnázium	21	6	19	3
Szabolcs-Szatmár-Bereg	Vásárosnamény	gimnázium	25	3	15	5
Szabolcs-Szatmár-Bereg	Vásárosnamény	gimnázium	17	5	12	0
Szabolcs-Szatmár-Bereg	Vásárosnamény	gimnázium	15	2	8	1
Szabolcs-Szatmár-Bereg	Vásárosnamény	gimnázium	24	2	4	2
Szabolcs-Szatmár-Bereg	Tiszavasvári	gimnázium	26	11	21	25
Szabolcs-Szatmár-Bereg	Nyíregyháza	gimnázium	18	0	4	0
Szabolcs-Szatmár-Bereg	Kisvárda	gimnázium	25	9	16	21
Szabolcs-Szatmár-Bereg	Vásárosnamény	gimnázium	24	11	13	33
Szabolcs-Szatmár-Bereg	Vásárosnamény	gimnázium	13	11	21	28
Szabolcs-Szatmár-Bereg	Kisvárda	gimnázium	22	9	13	3
Szabolcs-Szatmár-Bereg	Nyíregyháza	gimnázium	26	11	23	40
Szabolcs-Szatmár-Bereg	Nyíregyháza	gimnázium	23	1	4	0
Szabolcs-Szatmár-Bereg	Nyíregyháza	gimnázium	21	5	8	0
Szabolcs-Szatmár-Bereg	Nyíregyháza	gimnázium	16	7	14	7
Szabolcs-Szatmár-Bereg	Nyíregyháza	gimnázium	17	8	18	6
Szabolcs-Szatmár-Bereg	Nyíregyháza	gimnázium	22	5	6	6
Szabolcs-Szatmár-Bereg	Mátészalka	gimnázium	23	7	9	17
Szabolcs-Szatmár-Bereg	Nyíregyháza	gimnázium	27	12	23	32
Szabolcs-Szatmár-Bereg	Mátészalka	szakközép	4	1	9	0
Szabolcs-Szatmár-Bereg	Mátészalka	szakközép	29	12	9	1
Szabolcs-Szatmár-Bereg	Mátészalka	szakközép	25	11	19	3
Szabolcs-Szatmár-Bereg	Mátészalka	szakközép	25	5	14	2
Szabolcs-Szatmár-Bereg	Mátészalka	szakközép	18	6	7	0
Szabolcs-Szatmár-Bereg	Nyíregyháza	szakközép	26	14	15	26
Szabolcs-Szatmár-Bereg	Kisvárda	szakközép	24	10	22	13
Szabolcs-Szatmár-Bereg	Kisvárda	szakközép	27	12	15	30
Szabolcs-Szatmár-Bereg	Kisvárda	szakközép	27	13	24	30
Szabolcs-Szatmár-Bereg	Kisvárda	szakközép	28	5	14	12
Szabolcs-Szatmár-Bereg	Nyíregyháza	szakközép	26	8	14	15
Szabolcs-Szatmár-Bereg	Mátészalka	szakközép	19	10	26	15
Szabolcs-Szatmár-Bereg	Nyíregyháza	szakközép	24	8	24	31
Szabolcs-Szatmár-Bereg	Nyíregyháza	szakközép	24	14	17	28
Szabolcs-Szatmár-Bereg	Nyíregyháza	szakközép	26	13	18	16
Szabolcs-Szatmár-Bereg	Nyíregyháza	szakközép	20	10	19	7
Szabolcs-Szatmár-Bereg	Nyíregyháza	szakközép	20	9	14	0
Szabolcs-Szatmár-Bereg	Tiszavasvári	szakközép	27	8	13	9
Szabolcs-Szatmár-Bereg	Tiszavasvári	szakközép	28	7	19	19
Tolna	Bonyhád	gimnázium	28	12	6	18
Tolna	Bonyhád	gimnázium	27	14	5	4
Tolna	Dunaföldvár	gimnázium	29	13	12	15
Tolna	Szekszárd	gimnázium	25	15	3	0
Tolna	Tamási	szakközép	28	13	27	38
Tolna	Szekszárd	szakközép	28	14	26	43
Tolna	Szekszárd	szakközép	28	4	13	0
Tolna	Paks	szakközép	23	6	16	37
Tolna	Paks	szakközép	25	7	24	1
Tolna	Paks	szakközép	22	9	24	16
Tolna	Paks	szakközép	23	11	8	1
Tolna	Paks	szakközép	24	12	14	0
Vas	Szombathely	-	23	10	8	3
Vas	Szombathely	gimnázium	28	11	26	42
Vas	Kõszeg	gimnázium	21	10	20	0
Vas	Kõszeg	gimnázium	24	9	23	21
Vas	Kõszeg	gimnázium	25	12	19	22
Vas	Szombathely	gimnázium	20	12	18	0
Vas	Szombathely	gimnázium	29	12	26	29
Vas	Szombathely	szakközép	25	11	18	15
Vas	Szombathely	szakközép	26	13	22	25
Vas	Szombathely	szakközép	24	6	11	0
Vas	Kõszeg	szakközép	23	9	15	0
Vas	Kõszeg	szakközép	27	11	24	13
Vas	Kõszeg	szakközép	19	2	8	8
Vas	Szentgotthárd	szakközép	25	7	10	2
Vas	Szentgotthárd	szakközép	26	2	7	0
Vas	Szentgotthárd	szakközép	28	6	19	9
Veszprém	Veszprém	-	26	1	5	27
Veszprém	Veszprém	-	23	10	13	0
Veszprém	Veszprém	-	28	13	23	38
Veszprém	Veszprém	-	0	12	26	29
Veszprém	Veszprém	-	21	10	10	0
Veszprém	Veszprém	gimnázium	27	12	25	34
Veszprém	Veszprém	gimnázium	29	14	28	42
Veszprém	Veszprém	gimnázium	27	14	30	45
Veszprém	Veszprém	gimnázium	30	15	28	45
Veszprém	Veszprém	gimnázium	30	13	21	17
Veszprém	Veszprém	gimnázium	28	14	29	44
Veszprém	Veszprém	gimnázium	30	12	28	33
Veszprém	Veszprém	gimnázium	29	14	30	35
Veszprém	Veszprém	gimnázium	29	15	30	43
Veszprém	Veszprém	gimnázium	26	12	26	36
Veszprém	Veszprém	gimnázium	29	13	29	45
Veszprém	Veszprém	gimnázium	21	11	27	28
Veszprém	Ajka	gimnázium	22	10	22	1
Veszprém	Balatonfüred	gimnázium	27	12	26	19
Veszprém	Veszprém	gimnázium	29	14	29	43
Veszprém	Pápa	gimnázium	29	7	13	0
Veszprém	Veszprém	gimnázium	28	7	23	12
Veszprém	Balatonfüred	gimnázium	26	8	10	2
Veszprém	Veszprém	gimnázium	28	9	28	30
Veszprém	Veszprém	gimnázium	23	9	16	0
Veszprém	Veszprém	gimnázium	28	13	5	12
Veszprém	Veszprém	gimnázium	23	9	12	2
Veszprém	Veszprém	gimnázium	19	6	14	1
Veszprém	Veszprém	gimnázium	21	7	14	10
Veszprém	Veszprém	gimnázium	28	8	13	25
Veszprém	Tapolca	szakközép	17	2	13	1
Veszprém	Tapolca	szakközép	27	14	23	0
Veszprém	Tapolca	szakközép	22	9	18	0
Veszprém	Tapolca	szakközép	24	4	10	0
Veszprém	Pápa	szakközép	30	13	22	45
Veszprém	Veszprém	szakközép	26	3	10	16
Veszprém	Veszprém	szakközép	28	12	19	21
Zala	Keszthely	-	28	4	15	0
Zala	Keszthely	-	28	8	18	3
Zala	Keszthely	-	23	9	20	19
Zala	Keszthely	-	19	0	14	2
Zala	Keszthely	-	18	3	20	0
Zala	Nagykanizsa	gimnázium	28	13	29	36
Zala	Keszthely	gimnázium	29	14	28	44
Zala	Zalaegerszeg	gimnázium	26	14	28	42
Zala	Nagykanizsa	gimnázium	25	12	30	37
Zala	Zalaegerszeg	gimnázium	20	12	23	41
Zala	Zalaegerszeg	gimnázium	30	15	28	44
Zala	Zalaegerszeg	gimnázium	18	9	22	9
Zala	Zalaegerszeg	gimnázium	30	15	27	43
Zala	Zalaegerszeg	gimnázium	23	12	24	38
Zala	Zalaegerszeg	gimnázium	28	5	22	43
Zala	Nagykanizsa	gimnázium	25	14	26	32
Zala	Zalaegerszeg	szakközép	24	5	20	2
Zala	Zalaegerszeg	szakközép	26	8	1	29
Zala	Zalaegerszeg	szakközép	28	9	13	0
Zala	Zalaegerszeg	szakközép	29	11	22	1
Zala	Nagykanizsa	szakközép	28	14	23	26
